gene_name,num_cell_types
HNRNPA1,1
CUTL2,1
ETFB,1
C21ORF83B,1
BPGM,1
BSG,1
BST1,1
BTAF1,1
BTF3,1
BTG1,1
BTN3A2,1
BTN3A3,1
BUB3,1
BUD23,1
C10ORF54,1
C14ORF109,1
C14ORF138,1
C14ORF58,1
C14ORF61,1
C18ORF56,1
C19ORF43,1
C1ORF21,1
C1ORF33,1
C1ORF38,1
C1QA,1
C1QBP,1
C1R,1
C1S,1
C20ORF1,1
C20ORF139,1
C21ORF106,1
BOLA3,1
BNIP3L,1
BMP8B,1
BACH1,1
ATP2B4,1
ATP6V1A,1
ATP6V1C1,1
ATXN1,1
AURKA,1
AVP,1
AXL,1
B3GNT2,1
B3GNT7,1
B4GALT1,1
B4GALT3,1
B7-H2,1
BAFFR,1
BLVRB,1
BAIAP2,1
BANK1,1
BANP,1
BATF3,1
BCL2,1
BHLHE41,1
BIN1,1
BIRC3,1
BLCPMG,1
BLK,1
BLOC1S3,1
BLOC1S6,1
C21ORF42,1
C3AR1,1
CD1B,1
C4BPA,1
CCDC69,1
CCDC88C,1
CCL13,1
CCL17,1
CCL19,1
CCL2,1
CCL20,1
CCL22,1
CCL24,1
CCL4,1
CCNA2,1
CCNB1,1
CCNB2,1
CCND1,1
CCND2,1
CCND3,1
CCNL1,1
CCPG1,1
CCR8,1
CCRL2,1
CCS,1
CCSER1,1
CD107A,1
CD125,1
CD158B1,1
CD158B2,1
CD164,1
CCDC50,1
CCDC5,1
CCDC167,1
CAMK1D,1
C5ORF6,1
C6ORF107,1
C8G,1
C8ORF59,1
C9ORF72,1
CA1,1
CA6,1
CABP4,1
CACNA2D3,1
CADM1,1
CALML4,1
CAMK1,1
CAMK2D,1
CCDC141,1
CAMKK2,1
CAPG,1
CAPN15,1
CAPN2,1
CASK,1
CASP2,1
CASP4,1
CASP8,1
CBLB,1
CBR3,1
CBX3,1
CC-CKR-2,1
ATP2A3,1
ATP1B3,1
ATP13A3,1
ATP13A2,1
ADH1A,1
ADORA2A,1
ADRB2,1
AE3,1
AGTPBP1,1
AGTRAP,1
AHCY,1
AHI1,1
AHNAK,1
AHNAK2,1
AHSP,1
AICDA,1
AIFM2,1
AIM2,1
AKR1C3,1
ALB,1
ALDH2,1
ALDH3B1,1
ALDH5A1,1
ALDOB,1
ALG2,1
ALG5,1
ALOX15,1
ALOX5,1
ALOX5AP,1
ALOX5AP4,1
ALPHA-SMA,1
ADGRG1,1
ADGRE1,1
